size_mm,distance_mm,r_over_a,max_rel_error,mean_rel_error
6.0,9.000000000000002,1.5,0.04422886621611454,0.028179858309151803
6.0,10.319481416170957,1.7199135693618262,0.02617175162807297,0.01615463867451391
6.0,11.83241074429975,1.9720684573832916,0.015406895749496217,0.009283419415144042
6.0,13.56714919825587,2.261191533042645,0.009033072592595278,0.005344670616040632
6.0,15.556216002424462,2.5927026670707436,0.005279476433465647,0.0030812176683809767
6.0,17.83689799366228,2.9728163322770462,0.003078201142533416,0.0017780650876437964
6.0,20.451948596414987,3.408658099402498,0.0017914319936808815,0.0010267773446961117
6.0,23.450389273909796,3.9083982123182994,0.0010410965582834171,0.0005932287114556972
6.0,26.88842847934299,4.481404746557165,0.0006043866671657928,0.00034286596634319863
6.0,30.830515333624653,5.138419222270776,0.0003505769348432847,0.00019821651140206856
6.0,35.35054778181259,5.891757963635432,0.0002032269777411739,0.00011461405858739687
6.0,40.53325787620873,6.755542979368121,0.00011775344793029318,6.628216025309568e-05
6.0,46.475800154489,7.745966692414834,6.82039304843983e-05,3.833542683389013e-05
6.0,53.28957288843607,8.881595481406011,3.949354758985323e-05,2.2173657257705536e-05
6.0,61.10230634421153,10.183717724035255,2.2864006140295073e-05,1.2826238005514547e-05
6.0,70.06045720047507,11.676742866745846,1.3234564879761169e-05,7.419590924408746e-06
6.0,80.33195400986035,13.388659001643394,7.659750412779429e-06,4.292148148906521e-06
6.0,92.10934516993933,15.351557528323223,4.432815711636726e-06,2.4830190048078713e-06
6.0,105.61340841520722,17.60223473586787,2.565160231275277e-06,1.436459520215547e-06
6.0,121.09728949324494,20.18288158220749,1.484314520408758e-06,8.310227669745365e-07
6.0,138.85124760824618,23.141874601374365,8.588480418443982e-07,4.807694558694977e-07
6.0,159.2080965894943,26.534682764915715,4.969265915770341e-07,2.7814072643118245e-07
6.0,182.54944378435965,30.42490729739328,2.875188912925997e-07,1.6091447766305675e-07
6.0,209.31284362944942,34.88547393824157,1.663433750325218e-07,9.309458888956725e-08
6.0,240.0,40.0,9.621294873680339e-08,5.3859540673550805e-08
10.0,15.0,1.5,0.044228866216115,0.0281798583091519
10.0,17.19913569361826,1.7199135693618262,0.026171751628072736,0.016154638674513878
10.0,19.720684573832916,1.9720684573832916,0.015406895749496432,0.009283419415143821
10.0,22.61191533042645,2.261191533042645,0.009033072592614232,0.005344670616040366
10.0,25.927026670707438,2.5927026670707436,0.005279476433465116,0.00308121766838129
10.0,29.728163322770463,2.9728163322770462,0.0030782011426197034,0.0017780650876432092
10.0,34.086580994024985,3.408658099402498,0.0017914319936160128,0.0010267773446962722
